AO,MQ-4,Nano,Diff,|Diff|
0.385165,-1646,0,-1646,1646
0.433764,-674,0,-674,674
0.474735,1146,0,1146,1146
0.504342,3717,3703,14,14
0.529414,7508,9252,-1744,1744
0.544599,10979,11086,-107,107
0.556406,14533,13359,1174,1174
0.563746,17189,14216,2973,2973
0.568173,18965,14336,4629,4629
0.570809,20084,14315,5769,5769
0.571756,20497,14230,6267,6267
0.572653,20893,13973,6920,6920
0.572504,20827,13799,7028,7028
0.572828,20970,13488,7482,7482
0.572228,20704,13323,7381,7381
0.571505,20387,12965,7422,7422
0.570753,20060,12596,7464,7464
0.570168,19808,12418,7390,7390
0.569247,19416,12061,7355,7355
0.568337,19033,11894,7139,7139
0.567704,18771,11557,7214,7214
0.566234,18171,11390,6781,6781
0.565628,17928,11007,6921,6921
0.564124,17336,10818,6518,6518
0.562916,16871,10456,6415,6415
0.561609,16379,10269,6110,6110
0.560601,16007,9888,6119,6119
0.559654,15664,9512,6152,6152
0.557456,14891,9333,5558,5558
0.556425,14540,8974,5566,5566
0.554963,14053,8790,5263,5263
0.553575,13604,8431,5173,5173
0.550955,12788,8248,4540,4540
0.550395,12619,7850,4769,4769
0.548359,12021,7676,4345,4345
0.546188,11410,7322,4088,4088
0.546335,11450,6899,4551,4551
0.546047,11371,6731,4640,4640
0.545241,11152,6356,4796,4796
0.544735,11016,6193,4823,4823
0.544838,11043,5877,5166,5166
0.543815,10772,5742,5030,5030
0.541412,10157,5492,4665,4665
0.539177,9612,5390,4222,4222
0.538857,9536,5181,4355,4355
0.53838,9424,5004,4420,4420
0.536771,9053,4918,4135,4135
0.535531,8776,4749,4027,4027
0.53463,8579,4671,3908,3908
0.534102,8465,4509,3956,3956
0.533033,8238,4430,3808,3808
0.532068,8038,4273,3765,3765
0.529575,7540,4196,3344,3344
0.52793,7224,4070,3154,3154
0.527212,7090,3998,3092,3092
0.524833,6660,3851,2809,2809
0.523275,6389,3652,2737,2737
0.523126,6364,3574,2790,2790
0.522952,6335,3419,2916,2916
0.522427,6246,3342,2904,2904
0.522171,6203,3207,2996,2996
0.520945,6001,3148,2853,2853
0.519682,5798,3074,2724,2724
0.518383,5595,3031,2564,2564
0.517519,5463,2954,2509,2509
0.517257,5424,2865,2559,2559
0.51652,5314,2818,2496,2496
0.515748,5200,2726,2474,2474
0.515082,5104,2680,2424,2424
0.514447,5013,2585,2428,2428
0.513483,4877,2553,2324,2324
0.512992,4809,2474,2335,2335
0.511304,4581,2427,2154,2154
0.510059,4417,2351,2066,2066
0.509685,4369,2308,2061,2061
0.509146,4300,2239,2061,2061
0.508875,4265,2153,2112,2112
0.508386,4204,2111,2093,2093
0.508123,4171,2059,2112,2112
0.507462,4089,2037,2052,2052
0.507475,4091,0,4091,4091
0.50557,3861,1969,1892,1892
0.511114,4555,1939,2616,2616
0.512364,4723,1935,2788,2788
0.451131,-67,0,-67,67
0.468979,798,0,798,798
0.473995,1099,0,1099,1099
0.001045,-2425,0,-2425,2425
0.490068,2289,0,2289,2289
0.479065,1435,0,1435,1435
0.490947,2365,0,2365,2365
0.497693,3000,0,3000,3000
0.496875,2919,0,2919,2919
0.496174,2850,0,2850,2850
0.493849,2628,0,2628,2628
0.492462,2500,0,2500,2500
0.490444,2321,0,2321,2321
0.489121,2208,0,2208,2208
0.486144,1962,0,1962,1962
0.485692,1927,0,1927,1927
0.232161,-2367,0,-2367,2367
0.289592,-2265,0,-2265,2265
0.333636,-2091,0,-2091,2091
0.365448,-1861,0,-1861,1861
0.389519,-1588,0,-1588,1588
0.405011,-1344,0,-1344,1344
0.416274,-1121,0,-1121,1121
0.423506,-953,0,-953,953
0.438781,-518,0,-518,518
0.455868,134,0,134,134
0.4706,892,0,892,892
0.483373,1747,10627,-8880,8880
0.493556,2601,11096,-8495,8495
0.502178,3473,11412,-7939,7939
0.507338,4074,11384,-7310,7310
0.51128,4577,11159,-6582,6582
0.510647,4494,11001,-6507,6507
0.512687,4767,10551,-5784,5784
0.514291,4991,10205,-5214,5214
0.515438,5155,10043,-4888,4888
0.516645,5332,9733,-4401,4401
0.517345,5437,9597,-4160,4160
0.518283,5580,9327,-3747,3747
0.516969,5381,9208,-3827,3827
0.516957,5379,8933,-3554,3554
0.515172,5117,8794,-3677,3677
0.513038,4816,8503,-3687,3687
0.512464,4737,8288,-3551,3551
0.51129,4579,7959,-3380,3380
0.508577,4228,7596,-3368,3368
0.506766,4004,7006,-3002,3002
0.506073,3921,6591,-2670,2670
0.504857,3777,6435,-2658,2658
0.504547,3741,6179,-2438,2438
0.502859,3549,6049,-2500,2500
0.501924,3445,5780,-2335,2335
0.500913,3336,5599,-2263,2263
0.500933,3338,5328,-1990,1990
0.500859,3330,5167,-1837,1837
0.500601,3302,5094,-1792,1792
0.500364,3277,4977,-1700,1700
0.50001,3239,4932,-1693,1693
0.500005,3239,4844,-1605,1605
0.499075,3142,4780,-1638,1638
0.499238,3159,4687,-1528,1528
0.498376,3070,4641,-1571,1571
0.49801,3032,4548,-1516,1516
0.496975,2929,4476,-1547,1547
0.496186,2851,4432,-1581,1581
0.495592,2793,4314,-1521,1521
0.49515,2751,4253,-1502,1502
0.495019,2738,4142,-1404,1404
0.493331,2580,4089,-1509,1509
0.49299,2549,3936,-1387,1387
0.49222,2479,3874,-1395,1395
0.492049,2463,3766,-1303,1303
0.491565,2420,3709,-1289,1289
0.49123,2390,3612,-1222,1222
0.49019,2299,3536,-1237,1237
0.489409,2232,3477,-1245,1245
0.489238,2217,3387,-1170,1170
0.488322,2140,3338,-1198,1198
0.487777,2095,3243,-1148,1148
0.486989,2031,3184,-1153,1153
0.487218,2049,3090,-1041,1041
0.486251,1971,3031,-1060,1060
0.486092,1958,2937,-979,979
0.485431,1906,2851,-945,945
0.484374,1823,2819,-996,996
0.483561,1761,2730,-969,969
0.483504,1757,2695,-938,938
0.483614,1765,2636,-871,871
0.482706,1697,2603,-906,906
0.482293,1666,2527,-861,861
0.481314,1594,2483,-889,889
0.480975,1570,2415,-845,845
0.482831,1706,2384,-678,678
0.489997,2282,2329,-47,47
0.497099,2941,6744,-3803,3803
0.503971,3675,8247,-4572,4572
0.51001,4411,9961,-5550,5550
0.513212,4840,10398,-5558,5558
0.5159,5222,10706,-5484,5484
0.517199,5415,10687,-5272,5272
0.51957,5781,10489,-4708,4708
0.520097,5864,10327,-4463,4463
0.520952,6002,9984,-3982,3982
0.521006,6011,9630,-3619,3619
0.521182,6040,9465,-3425,3425
0.521313,6061,9158,-3097,3097
0.521016,6013,9007,-2994,2994
0.519905,5834,8715,-2881,2881
0.519062,5701,8543,-2842,2842
0.518727,5649,8232,-2583,2583
0.517638,5481,8073,-2592,2592
0.516439,5302,7757,-2455,2455
0.516073,5248,7439,-2191,2191
0.514362,5001,7279,-2278,2278
0.513378,4863,6931,-2068,2068
0.512381,4726,6768,-2042,2042
0.512223,4704,6479,-1775,1775
0.511224,4570,6340,-1770,1770
0.510625,4491,6082,-1591,1591
0.508848,4262,5966,-1704,1704
0.507208,4058,5724,-1666,1666
0.505409,3842,5601,-1759,1759
0.504356,3719,5334,-1615,1615
0.50334,3603,5090,-1487,1487
0.502285,3485,4957,-1472,1472
0.501047,3350,4715,-1365,1365
0.49989,3227,4577,-1350,1350
0.499573,3193,4328,-1135,1135
0.498354,3067,4237,-1170,1170
0.49812,3044,4053,-1009,1009
0.496584,2890,3988,-1098,1098
0.495871,2820,3847,-1027,1027
0.49505,2741,3705,-964,964
0.493429,2589,3621,-1032,1032
0.492489,2503,3432,-929,929
0.492066,2465,3365,-900,900
0.491892,2449,3241,-792,792
0.491076,2377,3180,-803,803
0.490857,2357,3069,-712,712
0.489516,2241,3018,-777,777
0.48808,2120,2921,-801,801
0.486701,2007,2856,-849,849
0.486437,1986,2725,-739,739
0.48588,1941,2599,-658,658
0.485375,1901,2538,-637,637
0.485055,1876,2422,-546,546
0.48411,1803,2370,-567,567
0.48402,1796,2275,-479,479
0.482687,1695,2250,-555,555
0.482572,1687,2171,-484,484
0.481012,1572,2140,-568,568
0.4797,1479,2059,-580,580
0.478833,1418,1954,-536,536
0.477976,1360,1910,-550,550
0.477209,1308,1824,-516,516
0.476315,1248,1791,-543,543
0.476078,1233,1684,-451,451
0.475064,1167,1639,-472,472
0.474962,1160,1550,-390,390
