AO,MQ-4,Nano,Diff,|Diff|
0.151160,2191,0,2191,2191
0.150672,2165,0,2165,2165
0.081319,260,-100,360,360
5600.0,-1,-1,0,0
0.076435,212,0,212,212
0.078388,230,0,230,230
0.078632,233,0,233,233
0.220757,9359,0,9359,9359
0.233700,11836,0,11836,11836
0.244444,14300,6327,7973,7973
0.244689,14360,8271,6089,6089
0.242002,13704,9914,3790,3790
0.238828,12961,10097,2864,2864
0.242491,13821,10030,3791,3791
0.240781,13414,9910,3504,3504
0.238339,12850,9582,3268,3268
0.235653,12254,9263,2991,2991
0.233211,11733,9112,2621,2621
0.232234,11530,8856,2674,2674
0.230281,11133,8749,2384,2384
0.229060,10890,8565,2325,2325
0.228327,10747,8473,2274,2274
0.226862,10466,8308,2158,2158
0.225885,10282,8223,2059,2059
0.225153,10145,8088,2057,2057
0.224176,9966,7958,2008,2008
0.222222,9615,7877,1738,1738
0.221001,9401,7727,1674,1674
0.220513,9317,7659,1658,1658
0.218071,8905,7507,1398,1398
0.217582,8824,7427,1397,1397
0.217582,8824,7278,1546,1546
0.215385,8469,7204,1265,1265
0.218071,8905,7059,1846,1846
0.217582,8824,6923,1901,1901
0.216850,8705,6847,1858,1858
0.215629,8508,0,8508,8508
0.214652,8354,0,8354,8354
0.214408,8315,6285,2030,2030
0.213187,8126,6231,1895,1895
0.211966,7941,6113,1828,1828
0.211477,7868,6050,1818,1818
0.209768,7616,5911,1705,1705
0.209524,7581,5789,1792,1792
0.208303,7406,5729,1677,1677
0.207082,7235,5609,1626,1626
0.206349,7133,5553,1580,1580
0.205617,7033,5442,1591,1591
0.204396,6869,5389,1480,1480
0.203663,6772,0,6772,6772
0.202930,6676,0,6676,6676
0.202198,6581,5008,1573,1573
0.200488,6365,4906,1459,1459
0.199512,6244,4848,1396,1396
0.199512,6244,4735,1509,1509
0.198046,6066,4562,1504,1504
0.197070,5949,4529,1420,1420
0.196093,5835,4500,1335,1335
0.195604,5778,4420,1358,1358
0.194628,5666,4379,1287,1287
0.193407,5529,4285,1244,1244
0.193651,5556,0,5556,5556
0.192674,5448,0,5448,5448
0.191697,5342,0,5342,5342
0.191209,5289,0,5289,5289
0.190232,5185,0,5185,5185
0.189499,5108,0,5108,5108
0.188523,5007,0,5007,5007
0.187790,4933,0,4933,4933
0.186569,4810,0,4810,4810
0.185348,4690,0,4690,4690
0.184860,4643,0,4643,4643
0.184371,4596,0,4596,4596
0.183639,4527,0,4527,4527
0.182906,4458,0,4458,4458
0.182418,4413,0,4413,4413
0.181929,4368,0,4368,4368
0.180708,4257,0,4257,4257
0.179487,4148,0,4148,4148
0.178999,4106,0,4106,4106
0.178999,4106,0,4106,4106
0.178022,4021,0,4021,4021
0.176801,3918,0,3918,3918
0.175580,3816,0,3816,3816
0.175092,3776,0,3776,3776
0.174115,3697,0,3697,3697
0.173626,3658,0,3658,3658
0.172161,3544,0,3544,3544
0.172161,3544,0,3544,3544
0.171673,3506,0,3506,3506
0.171429,3487,0,3487,3487
0.170940,3450,0,3450,3450
0.170696,3432,0,3432,3432
0.168987,3305,0,3305,3305
0.168254,3252,0,3252,3252
0.166789,3147,0,3147,3147
0.166300,3113,0,3113,3113
0.165812,3079,0,3079,3079
0.164835,3012,0,3012,3012
